11-20-2024 22:39:28 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,3%@729,2%@729,3%@729,0%@729,0%@729,0%@729,0%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.218C soc2@35.625C soc0@35.718C gpu@34.343C tj@39.218C soc1@35.625C VDD_GPU_SOC 2391mW/2871mW VDD_CPU_CV 398mW/1078mW VIN_SYS_5V0 3205mW/3370mW
11-20-2024 22:39:29 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,4%@729,0%@729,2%@729,0%@729,0%@729,0%@729,0%@729,2%@729,0%@729,1%@729,2%@729] GR3D_FREQ 0% cpu@38.937C soc2@35.625C soc0@35.812C gpu@33.937C tj@38.937C soc1@35.5C VDD_GPU_SOC 2391mW/2860mW VDD_CPU_CV 398mW/1063mW VIN_SYS_5V0 3205mW/3366mW
11-20-2024 22:39:30 RAM 2564/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,1%@729,0%@729,0%@729,0%@729,2%@729,0%@729,0%@729,2%@729,0%@729,0%@729,32%@729] GR3D_FREQ 0% cpu@39C soc2@35.687C soc0@35.875C gpu@34.093C tj@39C soc1@35.5C VDD_GPU_SOC 2391mW/2850mW VDD_CPU_CV 398mW/1048mW VIN_SYS_5V0 3405mW/3367mW
11-20-2024 22:39:31 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,1%@729,0%@729,1%@729,0%@729,1%@729,0%@729,0%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.125C soc2@35.75C soc0@35.718C gpu@34.062C tj@39.125C soc1@35.468C VDD_GPU_SOC 2392mW/2840mW VDD_CPU_CV 398mW/1035mW VIN_SYS_5V0 3104mW/3361mW
11-20-2024 22:39:32 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [6%@729,3%@729,3%@729,4%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@38.937C soc2@35.656C soc0@35.781C gpu@33.968C tj@38.937C soc1@35.625C VDD_GPU_SOC 2391mW/2831mW VDD_CPU_CV 398mW/1021mW VIN_SYS_5V0 3104mW/3356mW
11-20-2024 22:39:33 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,1%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.968C soc2@35.656C soc0@35.875C gpu@33.968C tj@38.968C soc1@35.468C VDD_GPU_SOC 2391mW/2822mW VDD_CPU_CV 398mW/1009mW VIN_SYS_5V0 3004mW/3349mW
11-20-2024 22:39:34 RAM 2536/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,2%@729,1%@729,4%@729,3%@729,5%@729,9%@729,0%@729,1%@729,1%@729,0%@729,9%@729] GR3D_FREQ 0% cpu@39.062C soc2@35.75C soc0@35.875C gpu@33.937C tj@39.062C soc1@35.531C VDD_GPU_SOC 2391mW/2813mW VDD_CPU_CV 398mW/996mW VIN_SYS_5V0 3205mW/3346mW
11-20-2024 22:39:35 RAM 2536/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@729,8%@729,14%@729,5%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 31% cpu@39.125C soc2@35.687C soc0@35.781C gpu@34.156C tj@39.312C soc1@35.531C VDD_GPU_SOC 2789mW/2813mW VDD_CPU_CV 398mW/985mW VIN_SYS_5V0 3305mW/3345mW
11-20-2024 22:39:36 RAM 2536/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@729,17%@729,7%@729,1%@729,0%@729,0%@729,0%@729,0%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.125C soc2@35.656C soc0@35.75C gpu@34.125C tj@38.937C soc1@35.593C VDD_GPU_SOC 2391mW/2805mW VDD_CPU_CV 398mW/973mW VIN_SYS_5V0 3205mW/3342mW
11-20-2024 22:39:37 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [18%@1497,16%@1497,4%@1497,17%@1497,22%@729,2%@729,1%@729,0%@729,1%@729,36%@729,0%@729,1%@729] GR3D_FREQ 48% cpu@39.281C soc2@35.656C soc0@35.843C gpu@34.062C tj@39.218C soc1@35.593C VDD_GPU_SOC 2789mW/2805mW VDD_CPU_CV 797mW/970mW VIN_SYS_5V0 3605mW/3347mW
