Inference Count,Inference Time (ms),End-to-End Time (ms),FPS
646,631.244,716.65,1.584173473
647,631.263,716.741,1.584125792
648,631.202,716.741,1.584278884
649,631.263,715.368,1.584125792
650,631.324,715.521,1.58397273
651,631.244,715.471,1.584173473
652,631.305,715.532,1.584020402
653,631.275,715.521,1.584095679
654,631.294,715.52,1.584048003
655,631.263,715.49,1.584125792
656,631.294,715.52,1.584048003
657,631.293,715.551,1.584050512
658,631.335,715.563,1.583945132
659,631.274,715.471,1.584098189
660,631.274,715.49,1.584098189
661,631.294,715.521,1.584048003
662,631.263,715.521,1.584125792
663,631.355,715.551,1.583894956
664,631.294,715.49,1.584048003
665,631.306,715.532,1.584017893
666,631.275,715.501,1.584095679
667,631.275,715.49,1.584095679
668,631.264,715.46,1.584123283
669,631.263,715.49,1.584125792
670,631.293,715.52,1.584050512
671,631.293,715.521,1.584050512
672,631.305,715.502,1.584020402
673,631.244,715.471,1.584173473
674,631.275,715.521,1.584095679
675,631.294,715.49,1.584048003
676,631.294,715.49,1.584048003
677,631.293,715.52,1.584050512
678,631.263,715.52,1.584125792
679,631.274,715.471,1.584098189
680,631.274,715.471,1.584098189
681,631.244,715.521,1.584173473
682,631.294,715.521,1.584048003
683,631.294,715.521,1.584048003
684,631.294,715.52,1.584048003
685,631.263,715.49,1.584125792
686,631.275,715.532,1.584095679
687,631.275,715.501,1.584095679
688,631.306,715.521,1.584017893
689,631.325,715.521,1.583970221
690,631.325,715.521,1.583970221
691,631.293,715.52,1.584050512
692,631.293,715.49,1.584050512
693,631.305,715.502,1.584020402
694,631.305,715.502,1.584020402
695,631.244,715.49,1.584173473
696,631.263,715.459,1.584125792
697,631.263,715.49,1.584125792
698,631.294,715.49,1.584048003
699,631.293,715.52,1.584050512
700,631.275,715.471,1.584095679
701,631.274,715.471,1.584098189
702,631.244,715.49,1.584173473
703,631.293,715.49,1.584050512
704,631.263,715.49,1.584125792
705,631.293,715.459,1.584050512
706,631.294,715.49,1.584048003
707,631.244,715.44,1.584173473
708,631.245,715.501,1.584170964
709,631.244,715.46,1.584173473
710,631.294,715.46,1.584048003
711,631.293,715.459,1.584050512
712,631.263,715.459,1.584125792
713,631.263,715.429,1.584125792
714,631.275,715.441,1.584095679
715,631.275,715.441,1.584095679
716,631.244,715.46,1.584173473
717,631.263,715.46,1.584125792
718,631.293,715.49,1.584050512
719,631.263,715.459,1.584125792
720,631.294,715.49,1.584048003
721,631.275,715.471,1.584095679
722,631.244,715.441,1.584173473
723,631.244,715.46,1.584173473
724,631.263,715.46,1.584125792
725,631.293,715.49,1.584050512
726,631.324,715.49,1.58397273
727,631.294,715.52,1.584048003
728,631.275,715.471,1.584095679
729,631.245,715.471,1.584170964
730,631.275,715.49,1.584095679
731,631.263,715.49,1.584125792
732,631.263,715.459,1.584125792
733,631.263,715.49,1.584125792
734,631.324,715.551,1.58397273
735,631.274,715.471,1.584098189
736,631.274,715.471,1.584098189
737,631.214,715.399,1.584248765
738,631.263,715.429,1.584125792
739,631.293,715.459,1.584050512
740,631.293,715.49,1.584050512
741,631.324,715.49,1.58397273
742,631.305,715.532,1.584020402
743,631.244,715.38,1.584173473
744,631.244,715.429,1.584173473
745,631.294,715.46,1.584048003
746,631.294,715.46,1.584048003
747,631.202,715.368,1.584278884
748,631.233,715.398,1.584201079
